id,Instance of,Title,Genre,Duration,Publication date,Netflix ID,Disney+ movie ID,Disney+ series ID,Hulu ID
Q211372,movie,On the Waterfront,"['Q130232', 'Q959790', 'Q2484376']",108.0,1954-01-01,60000711,,,
Q211693,movie,200 Motels,"['Q49451', 'Q842256']",95.0,1971-01-01,70134435,,,
Q212582,movie,The Valley of Gwangi,"['Q157394', 'Q1342372', 'Q471839', 'Q200092', 'Q172980']",95.0,1969-01-01,60031162,,,
Q212660,movie,Dead Bang,"['Q959790', 'Q188473', 'Q2484376']",92.0,1989-01-01,425845,,,
Q212689,movie,I Am Legend,"['Q1341051', 'Q2137852', 'Q130232', 'Q52207399', 'Q188473', 'Q200092']",100.0,2007-12-05,70060015,,,
Q212792,movie,Bolt,"['Q2143665', 'Q157443', 'Q319221']",96.0,2008-01-01,70099615,3rv7GKMZTggh,,
Q213012,movie,Open Season,"['Q663106', 'Q842256', 'Q21401869', 'Q1361932', 'Q157443']",86.0,2006-09-25,70043308,,,
Q213999,movie,21,"['Q130232', 'Q52207310', 'Q959790']",123.0,2008-03-07,70084788,,,
Q217008,movie,Blade: Trinity,"['Q188473', 'Q2484376', 'Q200092', 'Q157394', 'Q2137852', 'Q2421031', 'Q471839']",113.0,2004-01-01,60036252,,,
Q217182,movie,Edward Scissorhands,"['Q1054574', 'Q157394', 'Q130232', 'Q28026639', 'Q1957385']",105.0,1990-01-01,60000527,7IyLqt37708g,,
Q218035,tv,Parks and Recreation,"['Q459435', 'Q170238', 'Q7225114', 'Q9335576']",22.0,,70143842,,,93dc18da-96d9-4841-b125-40f901f7e7eb
Q218496,movie,Involuntary,"['Q157443', 'Q130232']",96.0,2008-01-01,70114978,,,
Q219776,movie,X2,"['Q188473', 'Q1535153', 'Q2973181', 'Q471839', 'Q157394']",134.0,2003-05-01,60027685,5VwEJ3Asxv5a,,
Q221104,movie,The Cell,"['Q471839', 'Q200092', 'Q2484376', 'Q130232']",107.0,2000-08-17,60001368,,,
Q221168,movie,X-Men: The Last Stand,"['Q188473', 'Q471839', 'Q1535153', 'Q157394']",104.0,2006-05-24,70043307,5pKcSSNWwwgW,,
